Rank,Title,Rating,Episodes,URL,Members_Votes,Type,Start Date,Finish Date,Premiered,R-Rating,Generes,Source,Studio
89,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.55, (1 eps),https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,"294,094 ",Movie,Jan 2019 , Jan 2019,,unkown,unkown,unkown,unkown
90,Kara no Kyoukai 5: Mujun Rasen,8.55, (1 eps),https://myanimelist.net/anime/4282/Kara_no_Kyoukai_5__Mujun_Rasen,"210,016 ",Movie,Aug 2008 , Aug 2008,,unkown,unkown,unkown,unkown
91,Haikyuu!!: To the Top 2nd Season,8.54, (12 eps),https://myanimelist.net/anime/40776/Haikyuu__To_the_Top_2nd_Season,"586,568 ",TV,Oct 2020 , Dec 2020,Premiered: Fall 2020,unkown,unkown,unkown,unkown
92,Neon Genesis Evangelion: The End of Evangelion,8.54, (1 eps),https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,"731,955 ",Movie,Jul 1997 , Jul 1997,,unkown,unkown,unkown,unkown
93,Sora yori mo Tooi Basho,8.54, (13 eps),https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,"413,371 ",TV,Jan 2018 , Mar 2018,Premiered: Winter 2018,unkown,unkown,unkown,unkown
94,Yuru Camp△ Season 2,8.54, (13 eps),https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2,"162,990 ",TV,Jan 2021 , Apr 2021,Premiered: Winter 2021,unkown,unkown,unkown,unkown
95,Slam Dunk,8.53, (101 eps),https://myanimelist.net/anime/170/Slam_Dunk,"240,016 ",TV,Oct 1993 , Mar 1996,Premiered: Fall 1993,unkown,unkown,unkown,unkown
96,Gintama.: Porori-hen,8.53, (13 eps),https://myanimelist.net/anime/35843/Gintama__Porori-hen,"161,254 ",TV,Oct 2017 , Dec 2017,Premiered: Fall 2017,unkown,unkown,unkown,unkown
97,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.53, (26 eps),https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,"205,213 ",TV,Jan 2004 , Jan 2005,Premiered: Winter 2004,unkown,unkown,unkown,unkown
98,Ansatsu Kyoushitsu 2nd Season,8.52, (25 eps),https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,"1,151,954 ",TV,Jan 2016 , Jul 2016,Premiered: Winter 2016,unkown,unkown,unkown,unkown
99,Gintama Movie 1: Shinyaku Benizakura-hen,8.52, (1 eps),https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen,"137,272 ",Movie,Apr 2010 , Apr 2010,,unkown,unkown,unkown,unkown
100,Kenpuu Denki Berserk,8.52, (25 eps),https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,"502,018 ",TV,Oct 1997 , Apr 1998,Premiered: Fall 1997,unkown,unkown,unkown,unkown
101,One Punch Man,8.52, (12 eps),https://myanimelist.net/anime/30276/One_Punch_Man,"2,630,981 ",TV,Oct 2015 , Dec 2015,Premiered: Fall 2015,unkown,unkown,unkown,unkown
102,Perfect Blue,8.52, (1 eps),https://myanimelist.net/anime/437/Perfect_Blue,"516,301 ",Movie,Feb 1998 , Feb 1998,,unkown,unkown,unkown,unkown
103,Shingeki no Kyojin,8.52, (25 eps),https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,"3,202,670 ",TV,Apr 2013 , Sep 2013,Premiered: Spring 2013,unkown,unkown,unkown,unkown
104,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.51, (12 eps),https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,"629,756 ",TV,Jan 2021 , Mar 2021,Premiered: Winter 2021,unkown,unkown,unkown,unkown
105,Steins;Gate 0,8.51, (23 eps),https://myanimelist.net/anime/30484/Steins_Gate_0,"716,423 ",TV,Apr 2018 , Sep 2018,Premiered: Spring 2018,unkown,unkown,unkown,unkown
106,Tian Guan Ci Fu Special,8.51,,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special,"25,438 ",,Feb 2021 , Feb 2021,,unkown,unkown,unkown,unkown
107,Uchuu Kyoudai,8.51, (99 eps),https://myanimelist.net/anime/12431/Uchuu_Kyoudai,"168,484 ",TV,Apr 2012 , Mar 2014,Premiered: Spring 2012,unkown,unkown,unkown,unkown
108,86 Part 2,8.51, (12 eps),https://myanimelist.net/anime/48569/86_Part_2,"209,410 ",TV,Oct 2021 , Mar 2022,Premiered: Fall 2021,unkown,unkown,unkown,unkown
109,Banana Fish,8.51, (24 eps),https://myanimelist.net/anime/36649/Banana_Fish,"647,400 ",TV,Jul 2018 , Dec 2018,Premiered: Summer 2018,unkown,unkown,unkown,unkown
110,Josee to Tora to Sakana-tachi,8.51, (1 eps),https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi,"233,573 ",Movie,Dec 2020 , Dec 2020,,unkown,unkown,unkown,unkown
111,Aria the Origination,8.5, (13 eps),https://myanimelist.net/anime/3297/Aria_the_Origination,"109,733 ",TV,Jan 2008 , Apr 2008,Premiered: Winter 2008,unkown,unkown,unkown,unkown
112,Hotaru no Haka,8.5, (1 eps),https://myanimelist.net/anime/578/Hotaru_no_Haka,"538,764 ",Movie,Apr 1988 , Apr 1988,,unkown,unkown,unkown,unkown
113,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5, (39 eps),https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,"853,714 ",TV,Apr 2016 , Dec 2016,Premiered: Spring 2016,unkown,unkown,unkown,unkown
114,Nana,8.5, (47 eps),https://myanimelist.net/anime/877/Nana,"508,306 ",TV,Apr 2006 , Mar 2007,Premiered: Spring 2006,unkown,unkown,unkown,unkown
115,Rainbow: Nisha Rokubou no Shichinin,8.5, (26 eps),https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,"344,540 ",TV,Apr 2010 , Sep 2010,Premiered: Spring 2010,unkown,unkown,unkown,unkown
116,Samurai Champloo,8.5, (26 eps),https://myanimelist.net/anime/205/Samurai_Champloo,"1,047,390 ",TV,May 2004 , Mar 2005,Premiered: Spring 2004,unkown,unkown,unkown,unkown
117,Shingeki no Kyojin Season 2,8.49, (12 eps),https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,"2,134,174 ",TV,Apr 2017 , Jun 2017,Premiered: Spring 2017,unkown,unkown,unkown,unkown
118,Chihayafuru 3,8.49, (24 eps),https://myanimelist.net/anime/37379/Chihayafuru_3,"111,570 ",TV,Oct 2019 , Mar 2020,Premiered: Fall 2019,unkown,unkown,unkown,unkown
119,Gintama: The Semi-Final,8.49,,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final,"47,159 ",,Jan 2021 , Jan 2021,,unkown,unkown,unkown,unkown
120,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.48, (1 eps),https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,"587,948 ",Movie,Aug 2019 , Aug 2019,,unkown,unkown,unkown,unkown
121,Mo Dao Zu Shi,8.48,,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi,"178,213 ",,Jul 2018 , Oct 2018,,unkown,unkown,unkown,unkown
